policy_renewal_number,policy_premium_band,customer_age,location_code,location_score,market_segment,policy_type,payment_frequency,customer_education_level,customer_occupation_sector,policy_category_two,policy_cover_level,customer_email_verified,payment_method,is_joint_policy,policy_excess,customer_home_ownership,customer_credit_one,customer_credit_two,customer_credit_three,customer_salary_band,customer_age_scaled,customer_gender,additional_customer_flag,policy_item_category,claim_flag
2,2,42,11,131,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,33,2,0,7,0
9,1,43,6,150,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,34,0,0,3,0
11,0,48,4,243,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,43,2,0,12,0
5,0,45,17,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,0,0,6,0
10,1,41,11,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,0,0,11,0
0,1,36,11,18,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,22,2,0,7,0
1,0,53,18,337,1,0,2,9,8,9,2,,0,0,0,2,0,118,200,0,52,2,0,6,0
1,0,46,15,206,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,39,2,0,13,0
12,2,44,15,168,5,10,0,9,5,7,2,,1,0,1250,0,456,654,0,4,36,0,0,0,0
6,1,51,11,300,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,48,2,0,2,0
0,0,37,15,37,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,24,0,0,7,0
10,2,41,1,112,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,31,2,0,8,1
12,0,44,20,168,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,36,1,0,3,0
7,0,45,15,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,0,0,8,0
8,1,43,11,150,4,8,1,1,6,2,6,,1,0,700,3,452,802,536,0,34,0,0,7,0
0,0,41,15,112,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,31,2,0,1,0
10,0,38,11,56,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,26,2,0,2,0
2,1,36,20,18,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,22,1,0,14,0
0,1,40,4,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,2,0,9,0
11,2,37,20,37,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,24,2,0,5,0
6,2,44,11,168,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,36,2,0,13,0
4,2,35,4,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,2,0,14,0
12,3,38,4,56,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,26,0,0,10,0
5,0,61,15,487,1,0,2,9,8,9,2,,0,0,0,2,0,118,200,0,65,2,0,2,0
2,0,39,17,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,2,0,8,0
0,2,44,21,168,2,5,0,3,4,10,6,,1,1,1200,3,710,936,1000,3,36,0,0,11,0
10,2,50,11,281,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,46,2,0,13,0
1,1,35,20,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,0,0,0,0
4,1,35,10,0,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,21,0,0,15,0
2,0,49,15,262,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,45,0,0,1,0
10,2,35,21,0,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,21,0,0,9,0
0,0,36,11,18,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,22,0,0,7,0
2,3,47,20,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,0,0,12,0
0,0,53,17,337,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,52,2,0,5,0
11,1,39,6,75,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,27,3,0,8,0
10,3,47,15,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,2,0,2,0
12,3,52,4,318,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,50,2,0,3,0
0,1,52,20,318,2,5,0,3,4,10,6,,1,1,1200,3,710,936,1000,3,50,2,0,14,0
3,2,42,2,131,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,33,1,0,14,0
0,2,48,20,243,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,43,1,0,4,0
5,1,44,18,168,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,36,2,0,0,0
1,3,47,10,225,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,41,2,0,9,0
2,2,41,1,112,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,31,2,0,11,0
0,0,49,4,262,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,45,2,0,0,0
1,0,43,4,150,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,34,0,0,1,0
0,0,46,0,206,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,39,2,0,12,0
1,0,40,17,93,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,29,2,0,14,0
4,1,52,17,318,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,50,2,0,15,0
1,1,44,11,168,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,36,1,0,10,0
2,0,37,19,37,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,24,0,0,14,0
11,0,57,21,412,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,58,2,0,11,0
12,2,36,5,18,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,22,2,0,12,0
1,1,37,2,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,0,0,7,0
8,0,45,11,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,3,0,4,0
4,2,36,6,18,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,22,2,0,8,0
1,1,52,11,318,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,50,1,0,2,0
11,1,37,15,37,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,24,0,0,9,0
5,1,52,20,318,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,50,0,0,7,0
12,0,41,11,112,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,31,0,0,5,1
10,1,43,11,150,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,34,0,0,14,0
0,1,40,15,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,1,0,15,0
12,3,40,8,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,2,0,10,0
1,1,40,20,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,2,0,6,0
11,1,57,17,412,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,58,2,0,2,1
10,2,40,20,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,1,0,3,0
6,0,49,4,262,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,45,0,0,0,0
1,0,53,15,337,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,52,3,0,5,1
11,1,53,20,337,2,5,0,3,4,10,6,,1,1,1200,3,710,936,1000,3,52,0,0,6,0
8,0,58,15,431,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,60,0,0,12,0
0,0,53,15,337,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,52,3,0,12,0
5,0,53,17,337,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,52,2,0,12,0
0,2,40,5,93,4,7,1,1,6,3,2,,1,0,700,3,332,773,424,2,29,0,0,6,0
3,2,45,15,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,0,0,11,0
7,0,40,11,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,2,0,14,0
4,0,43,17,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,2,0,11,0
7,0,40,5,93,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,29,0,0,15,0
2,0,39,6,75,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,27,0,0,3,0
3,0,45,11,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,3,0,13,0
2,2,41,20,112,3,1,2,9,0,5,1,,0,0,700,1,190,0,686,0,31,0,0,4,0
9,6,52,20,318,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,50,0,0,15,0
7,1,57,17,412,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,58,0,0,9,0
11,1,55,20,375,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,55,0,0,11,0
0,3,35,19,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,0,0,7,0
5,0,40,17,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,2,0,14,0
1,1,43,11,150,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,34,1,0,12,0
5,0,40,3,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,0,0,5,1
0,3,44,16,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,0,0,5,0
8,2,60,5,468,4,7,1,1,6,3,2,,1,0,700,3,332,773,424,2,64,2,0,0,0
0,0,54,1,356,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,53,3,0,5,0
3,0,57,15,412,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,58,0,0,9,0
0,2,35,11,0,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,21,2,0,10,0
0,0,47,17,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,0,0,11,0
5,0,45,20,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,2,0,0,0
2,0,45,18,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,0,0,12,0
3,1,41,15,112,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,31,2,0,4,0
3,0,38,15,56,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,26,0,0,4,0
11,2,36,13,18,2,5,0,9,4,10,6,,1,1,1200,2,710,936,1000,3,22,0,0,13,0
2,2,40,17,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,2,0,4,0
1,0,51,15,300,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,48,3,0,14,0
8,1,40,20,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,2,0,1,0
1,1,39,17,75,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,27,0,0,0,0
3,2,48,20,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,0,0,4,0
8,0,56,10,393,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,57,2,0,2,1
6,0,36,0,18,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,22,0,0,6,0
2,2,44,21,168,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,36,0,0,12,0
2,0,41,11,112,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,31,0,0,7,0
12,3,57,18,412,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,58,2,0,13,0
10,0,45,20,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,1,0,5,0
12,2,55,8,375,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,55,2,0,4,0
10,0,39,11,75,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,27,0,0,4,0
9,2,45,18,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,2,0,0,0
10,1,36,4,18,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,22,0,0,11,0
9,0,44,15,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,3,0,2,0
0,0,41,7,112,5,2,1,4,7,8,2,,0,0,700,2,455,999,910,5,31,2,0,3,0
6,0,44,20,168,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,36,0,0,6,0
2,1,36,20,18,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,22,2,0,10,0
10,0,51,20,300,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,48,0,0,6,0
9,0,36,1,18,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,22,3,0,1,0
5,1,42,4,131,5,2,1,4,7,8,2,,0,0,700,2,455,999,910,5,33,2,0,15,0
10,1,38,15,56,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,26,2,0,8,0
6,1,35,20,0,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,21,0,0,11,0
1,2,39,1,75,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,27,3,0,4,0
11,0,53,2,337,5,10,0,8,5,7,2,,1,0,1250,3,456,654,0,4,52,0,0,2,0
3,0,47,21,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,0,0,4,0
10,0,36,20,18,4,6,0,2,1,0,2,,1,0,1200,0,452,832,656,5,22,0,0,14,0
3,2,44,11,168,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,36,0,0,9,0
3,3,43,15,150,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,34,2,0,2,0
11,1,40,15,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,0,1,8,1
10,2,40,5,93,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,29,0,0,1,0
11,1,48,20,243,1,4,1,5,3,1,2,,0,0,350,0,237,309,155,2,43,2,0,5,0
6,0,38,15,56,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,26,0,0,0,0
0,0,47,4,225,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,41,0,0,1,0
8,0,43,17,150,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,34,2,0,5,0
0,0,39,15,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,0,0,12,0
2,0,57,17,412,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,58,2,0,3,0
10,1,48,17,243,0,9,2,6,2,6,2,,0,0,350,3,174,431,431,2,43,3,0,13,0
5,0,42,0,131,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,33,0,0,8,0
9,0,53,17,337,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,52,0,0,6,0
10,2,43,5,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,0,0,6,0
8,0,51,17,300,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,48,0,0,5,1
6,0,41,20,112,4,7,1,1,6,3,2,,1,0,700,3,332,773,424,2,31,0,0,7,0
10,1,51,2,300,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,48,0,0,2,1
8,0,45,17,187,1,0,2,0,8,9,2,,0,0,0,3,0,118,200,0,38,0,0,8,1
0,2,48,4,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,0,0,8,0
12,1,45,20,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,0,0,4,0
1,0,35,3,0,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,21,1,0,13,0
6,1,40,0,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,0,0,15,0
2,1,43,17,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,3,0,0,0
0,0,44,1,168,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,36,0,0,11,0
10,0,37,11,37,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,24,0,0,4,0
6,2,35,11,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,6,0
5,1,37,17,37,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,24,0,0,3,0
5,0,54,1,356,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,53,2,0,4,0
5,1,36,1,18,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,22,0,0,2,1
11,0,54,11,356,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,53,0,0,11,0
0,1,39,15,75,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,27,3,0,5,0
7,1,50,17,281,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,46,2,0,5,0
0,1,48,21,243,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,43,2,0,6,0
2,2,41,21,112,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,31,0,0,5,0
0,0,38,15,56,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,26,0,0,7,0
11,2,39,0,75,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,27,0,0,10,0
11,2,54,20,356,4,7,1,9,6,3,2,,1,0,700,0,332,773,424,2,53,0,0,15,0
3,0,42,15,131,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,33,2,0,15,0
0,0,46,20,206,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,39,2,0,15,0
0,2,35,17,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,10,0
10,1,45,11,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,2,0,10,0
4,0,50,17,281,1,0,2,9,8,9,2,,0,0,0,2,0,118,200,0,46,3,0,8,0
11,0,60,20,468,4,8,1,9,6,2,6,,1,0,700,0,452,802,536,0,64,2,0,12,0
10,2,49,5,262,4,7,1,1,6,3,2,,1,0,700,3,332,773,424,2,45,0,0,0,0
0,0,35,15,0,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,21,1,0,14,0
10,0,44,20,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,0,0,13,0
1,0,50,20,281,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,46,3,0,1,0
12,3,52,20,318,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,50,0,0,15,0
7,2,45,20,187,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,38,1,0,14,0
2,3,48,2,243,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,43,2,0,3,0
8,1,44,17,168,4,8,1,9,6,2,6,,1,0,700,0,452,802,536,0,36,0,0,9,0
2,1,40,17,93,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,29,0,0,8,0
10,2,51,4,300,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,48,0,0,9,0
11,1,43,10,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,3,0,13,0
3,0,43,20,150,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,34,3,0,13,0
0,1,38,6,56,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,26,1,0,11,0
2,2,46,17,206,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,39,2,0,7,0
8,0,47,17,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,0,0,12,0
1,0,39,21,75,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,27,1,0,14,0
6,1,38,1,56,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,26,0,0,7,0
11,0,52,19,318,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,50,0,0,2,0
0,1,35,1,0,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,21,0,0,7,0
1,0,47,17,225,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,41,0,0,3,0
12,3,44,20,168,4,7,1,9,6,3,2,,1,0,700,0,332,773,424,2,36,0,0,14,0
4,2,36,20,18,5,2,1,4,7,8,2,,0,0,700,2,455,999,910,5,22,2,0,0,0
11,1,54,10,356,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,53,0,0,0,0
10,2,43,20,150,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,34,2,0,6,0
11,2,51,11,300,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,48,2,0,3,0
12,2,60,21,468,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,64,2,0,8,0
7,0,39,11,75,2,5,0,3,4,10,6,,1,1,1200,3,710,936,1000,3,27,0,0,12,0
8,0,39,17,75,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,27,3,0,7,0
10,2,41,20,112,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,31,2,0,7,0
8,0,45,11,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,3,0,10,0
1,3,47,21,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,0,0,5,0
1,0,45,15,187,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,38,3,0,9,0
0,0,54,18,356,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,53,2,0,1,0
9,3,59,5,450,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,62,0,0,8,1
10,2,44,10,168,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,36,3,0,12,0
8,2,40,11,93,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,29,2,0,11,0
11,2,42,5,131,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,33,2,0,12,0
10,0,47,0,225,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,41,2,0,1,0
1,0,45,16,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,2,0,8,0
0,3,41,6,112,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,31,2,0,10,0
11,0,43,5,150,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,34,0,0,15,0
6,1,35,2,0,3,1,2,7,0,5,1,,0,0,700,1,190,0,686,0,21,2,0,8,0
10,1,45,21,187,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,38,2,0,2,1
10,1,37,20,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,1,0,1,0
1,2,46,11,206,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,39,2,0,15,0
0,1,43,0,150,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,34,2,0,8,0
4,0,48,21,243,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,43,2,0,4,0
7,3,41,11,112,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,31,0,0,11,0
0,1,42,11,131,4,8,1,1,6,2,6,,1,0,700,0,452,802,536,0,33,2,0,0,0
7,0,42,1,131,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,33,0,0,10,0
9,1,37,20,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,0,0,9,0
6,0,49,18,262,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,45,2,0,15,0
1,0,36,15,18,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,22,0,0,3,0
0,1,50,10,281,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,46,3,0,14,0
5,3,48,17,243,2,5,0,3,4,10,6,,1,1,1200,3,710,936,1000,3,43,1,0,4,0
12,0,49,20,262,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,45,0,0,14,0
11,0,49,5,262,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,45,0,0,10,0
0,0,40,15,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,2,0,3,0
12,0,46,1,206,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,39,0,0,4,0
12,2,52,20,318,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,50,3,0,15,0
11,1,44,11,168,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,36,2,0,9,0
9,2,39,16,75,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,27,2,0,0,0
1,2,40,7,93,5,3,1,1,6,4,2,,1,0,700,0,456,773,424,2,29,2,0,10,0
6,0,40,17,93,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,29,2,0,6,0
2,1,35,5,0,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,21,2,0,15,0
0,2,40,17,93,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,29,0,0,15,0
2,0,37,11,37,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,24,2,0,7,0
7,2,38,20,56,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,26,3,0,0,0
0,0,51,15,300,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,48,0,0,13,0
5,1,47,10,225,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,41,2,0,5,0
10,4,63,20,525,2,5,0,3,4,10,6,,1,1,1200,2,710,936,1000,3,69,1,0,8,1
10,0,44,0,168,0,9,2,6,2,6,2,,0,0,350,2,174,431,431,2,36,0,0,15,0
0,0,45,15,187,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,38,0,0,14,0
5,0,37,9,37,4,7,1,1,6,3,2,,1,0,700,0,332,773,424,2,24,2,0,10,0
7,0,35,9,0,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,21,2,0,8,1
0,0,48,11,243,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,43,0,0,4,0
8,0,54,17,356,1,0,2,0,8,9,2,,0,0,0,2,0,118,200,0,53,2,0,15,0
11,1,40,17,93,5,10,0,8,5,7,2,,1,0,1250,0,456,654,0,4,29,0,0,8,0
